,Company Name,Meta data,RAM,Graphic card,Hard disk,Price,Date,Time,Processor Name,Processor Chip,Processor Chip Detail
1,hp ,"['hp omen', '16.1"" qhd laptop', 'shadow black']",16gb memory,nvidia geforce rtx 3060,1tb ssd,1199.99,09/03/2022,15:30:00,Intel,i7,i7 12700h
2,hp,"['hp', 'victus 15.6"" gaming laptop', 'mica silver']",8gb memory,nvidia geforce gtx 1650,512gb ssd,549.99,09/03/2022,15:30:00,Intel,i5,i5 12450h
3,asus,"['asus', 'tuf dash 15.6"" gaming laptop', 'eclipse grey']",16gb memory,nvidia geforce rtx 3060,512gb ssd,999.99,09/03/2022,15:30:00,Intel,i7,11th gen i7
4,hp,"['hp', 'victus 15.6"" gaming laptop', 'mica silver']",16gb memory,nvidia geforce rtx 3050 ti,512gb ssd,1099.99,09/03/2022,15:30:00,Intel,i7,i7 12650h
5,asus,"['asus', 'rog zephyrus 16"" wqxga 165hz gaming laptop', 'off black']",,nvidia geforce rtx 3070 ti,1tb pcie 4.0 ssd,1799.99,09/03/2022,15:30:00,Intel,i9,i9
6,acer,"['acer', 'nitro 5', '15.6"" fhd gaming laptop', 'black']",16gb ddr4,nvidia geforce rtx 3050 ti,512gb gen 4 ssd,849.99,09/03/2022,15:30:00,Intel,i5,i5
7,dell,"['dell', 'g15re 5000 15.6"" gaming laptop', '1tb solid state drive', 'grey']",16gb memory,nvidia geforce rtx 3050 ti,,899.99,09/03/2022,15:30:00,AMD,ryzen 7,ryzen 7
8,msi,"['msi', 'sword 15.6"" 144hz gaming laptop', 'black']",16gb memory,nvidia geforce rtx 3060,1tb ssd,1099.99,09/03/2022,15:30:00,Intel,i7,i7
9,hp ,"['hp omen', '16.1"" laptop', 'shadow black']",16gb memory,nvidia geforce rtx 3050 ti,1tb ssd,1479.99,09/03/2022,15:30:00,Intel,i7,i7 12700h
10,asus,"['asus', 'rog zephyrus g14 14"" laptop']",16gb memory,nvidia geforce gtx 1650,512gb ssd,1149.99,09/03/2022,15:30:00,AMD,ryzen 7,ryzen 7
11,lenovo,"['lenovo', 'ideapad gaming 3 15ihu6 15.6"" gaming laptop', 'shadow black']",8 gb memory,nvidia geforce rtx 3050,256 gb ssd,939.99,09/03/2022,15:30:00,Intel,i5,i5
12,lenovo,"['lenovo', 'legion 5 15"" gaming laptop', 'phantom blue']",8gb memory,nvidia geforce rtx 3050 ti,512gb ssd,899.99,09/03/2022,15:30:00,AMD,ryzen 7,ryzen 7 5800h
13,gigabyte,"['gigabyte', 'aorus 15.6 ips 240hz gaming laptop']",16gb memory,nvidia geforce rtx 3070,1tb ssd,1199.99,09/03/2022,15:30:00,Intel,i7,i7 11800h
14,lenovo,"['lenovo', 'legion slim 7i 16"" wuxga gaming laptop', 'onyx grey']",16gb memory,nvidia geforce rtx 3060,512gb ssd,1299.99,09/03/2022,15:30:00,Intel,i7,i7 12700h
